"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
0.	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0
0.1	28	968	968	967	0	0	2	1	1	0	0	0	0	1	1	1
0.2	35	976	972	966	0	1	1	0	1	1	1	0	0	2	1	1
0.3	41	967	966	967	1	0	1	0	4	2	0	0	0	1	0	1
0.4	46	972	962	964	1	1	1	1	2	0	2	1	3	2	1	3
0.5	52	966	973	969	0	0	1	1	2	1	1	0	1	3	0	0
0.6	58	966	971	969	0	3	1	0	3	2	1	0	0	1	0	0
0.7	71	967	967	974	1	2	0	1	0	0	1	0	0	1	1	1
0.8	77	970	974	973	1	0	1	0	2	1	0	2	1	1	0	1
0.9	89	975	968	972	1	1	1	2	1	0	0	0	1	0	1	1
1.	94	969	961	964	1	1	2	3	1	2	3	0	1	0	1	1
1.1	98	967	972	973	0	2	0	3	0	1	1	1	0	0	2	0
1.2	108	975	968	970	2	1	0	1	0	0	0	0	2	0	0	2
1.3	115	973	977	973	1	0	1	4	0	0	0	0	1	1	2	0
1.4	122	977	971	974	1	3	0	0	0	0	0	1	0	0	0	1
1.5	132	973	970	969	1	0	4	1	1	0	0	2	1	2	2	1
1.6	137	973	972	969	1	1	2	0	0	0	0	0	0	0	1	1
1.7	144	963	977	971	1	1	0	0	2	3	0	1	0	3	1	1
1.8	151	973	972	964	3	1	2	2	0	1	0	0	1	0	0	0
1.9	155	975	966	968	1	2	3	0	2	3	1	0	1	2	3	1
2.	161	976	973	977	0	0	1	0	0	2	1	0	0	1	1	2
2.1	170	973	975	968	1	1	1	2	1	1	0	0	0	2	1	1
2.2	176	973	970	971	0	1	0	1	2	1	1	0	1	1	0	2
2.3	183	977	978	972	0	0	0	0	1	1	2	1	2	0	1	0
2.4	189	969	974	972	2	4	0	1	1	1	0	0	0	0	1	0
2.5	199	974	970	976	0	2	1	1	1	2	1	1	1	1	1	0
2.6	206	969	974	978	1	0	0	0	1	2	0	0	1	0	1	2
2.7	213	977	971	978	0	0	0	2	1	0	0	0	0	1	1	0
2.8	214	975	977	972	1	4	0	0	2	1	0	1	1	0	0	0
2.9	219	978	972	979	2	0	1	0	0	0	0	0	1	1	0	0
3.	225	973	975	963	3	1	1	1	0	1	0	0	0	0	1	0
3.1	228	973	975	971	0	0	1	1	2	1	1	1	1	0	1	0
3.2	236	977	978	974	2	1	0	0	2	2	1	0	0	0	1	0
3.3	240	972	972	972	1	3	2	0	1	0	1	0	0	0	1	1
3.4	244	972	978	972	0	1	2	0	1	1	2	1	0	0	0	0
3.5	251	973	977	969	1	2	2	1	1	3	0	0	0	2	0	0
3.6	257	972	978	973	2	1	1	1	1	1	1	0	1	0	1	1
3.7	258	977	973	978	0	1	0	1	0	2	1	1	0	0	0	0
3.8	263	974	974	982	0	1	0	1	0	0	1	0	0	0	0	1
3.9	267	977	972	974	0	0	1	0	2	0	0	1	0	0	1	0
4.	272	976	979	971	0	1	1	1	4	3	1	0	1	1	0	2
4.1	277	980	980	977	0	0	0	1	1	0	0	1	0	0	2	2
4.2	280	979	971	976	0	1	0	0	0	0	1	0	1	0	0	0
4.3	288	976	974	980	0	1	0	1	0	0	0	0	0	0	1	0
4.4	290	973	975	973	1	2	0	1	1	1	0	0	0	1	0	1
4.5	295	977	973	971	2	0	3	0	1	2	0	1	0	0	0	0
4.6	300	968	974	975	0	2	1	3	2	2	1	0	0	1	2	0
4.7	305	974	976	973	1	4	1	0	0	2	0	3	0	0	1	0
4.8	311	965	979	974	2	1	0	1	1	3	1	3	0	1	2	0
4.9	315	972	971	975	0	1	3	1	2	1	0	3	2	1	0	2
5.	329	979	971	972	0	2	0	4	1	0	1	2	3	0	0	3
