"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
0.	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0
0.1	106	955	948	958	1	3	2	2	2	1	2	2	1	2	0	2
0.2	134	953	948	960	2	2	5	1	1	5	1	0	0	0	4	1
0.3	159	958	951	959	5	5	1	5	3	2	2	1	1	0	1	2
0.4	188	954	962	951	3	3	5	2	3	1	1	1	0	4	0	2
0.5	213	954	961	955	3	1	0	1	4	1	0	0	0	0	2	3
0.6	239	949	960	962	2	4	0	0	4	1	0	0	0	2	3	1
0.7	265	962	956	962	4	2	1	1	1	5	1	1	3	1	2	1
0.8	287	955	961	961	4	4	5	2	2	0	1	0	2	2	3	4
0.9	305	955	960	967	3	4	2	1	2	3	0	0	1	2	5	1
1.	320	961	956	964	1	4	2	5	6	1	1	0	1	2	2	4
1.1	342	961	958	958	3	4	4	3	1	5	2	0	1	1	2	2
1.2	362	955	958	955	6	6	5	2	2	2	1	3	0	2	3	5
1.3	387	962	949	958	1	4	3	3	1	4	1	0	0	3	1	4
1.4	404	960	959	963	1	2	2	2	3	3	1	2	1	2	1	3
1.5	423	961	965	964	4	1	3	3	2	2	0	1	0	2	2	2
1.6	445	963	964	969	1	2	1	0	2	3	1	1	0	2	1	3
1.7	466	962	969	967	3	1	4	0	2	0	2	0	1	1	0	0
1.8	483	957	969	967	2	1	0	0	5	0	1	1	1	4	1	0
1.9	504	966	967	963	3	2	2	3	4	1	0	2	1	1	3	1
2.	526	964	975	966	3	1	1	6	2	0	0	0	0	2	3	2
2.1	539	963	962	968	3	3	3	2	1	2	0	1	2	1	3	1
2.2	564	964	965	961	4	4	0	1	1	2	3	1	0	6	2	0
2.3	589	967	977	964	0	2	2	0	1	1	2	1	0	1	3	5
2.4	606	972	975	966	3	2	2	1	2	2	0	0	0	3	2	2
2.5	621	974	977	972	6	2	2	0	2	0	0	1	1	1	2	1
2.6	639	965	970	968	2	3	4	0	1	2	1	5	0	3	3	1
2.7	656	969	968	970	4	6	3	4	3	2	2	1	1	0	2	2
2.8	675	973	976	977	0	3	3	3	1	1	1	0	0	2	2	1
2.9	688	969	973	973	4	5	3	0	4	3	0	1	0	3	1	2
3.	700	969	975	972	3	4	2	2	2	4	0	2	0	6	4	2
3.1	716	974	977	975	1	3	1	1	1	2	2	0	0	3	0	1
3.2	732	979	983	976	2	1	1	1	4	2	0	0	1	2	0	1
3.3	746	975	972	980	3	2	3	3	0	4	0	0	0	0	0	2
3.4	765	976	980	979	3	3	4	1	1	2	0	1	0	2	2	1
3.5	784	980	979	979	1	1	1	2	2	3	1	2	0	1	3	1
3.6	797	980	986	980	3	2	1	2	1	4	0	0	0	1	2	0
3.7	805	981	977	978	1	3	4	3	2	3	0	0	1	2	3	2
3.8	818	981	981	983	2	2	2	0	2	4	0	0	0	1	0	3
3.9	826	982	981	983	1	3	2	3	2	2	0	1	0	4	3	2
4.	834	984	980	981	1	3	3	4	1	0	1	0	2	3	0	1
4.1	847	983	984	984	1	1	2	0	1	0	0	0	1	1	2	0
4.2	852	986	983	981	2	1	1	4	5	3	0	0	1	1	2	0
4.3	859	986	982	984	1	3	0	3	2	1	1	0	0	0	3	0
4.4	869	982	983	980	0	3	0	4	2	4	0	0	0	2	2	4
4.5	880	989	979	984	3	3	3	3	1	2	0	0	1	1	2	4
4.6	887	981	982	982	5	2	2	1	6	3	1	0	1	0	4	4
4.7	903	987	986	985	4	1	3	1	3	1	0	0	1	0	2	2
4.8	911	989	990	988	3	3	2	1	1	0	0	1	0	2	0	1
4.9	919	987	990	989	1	1	2	2	1	2	0	2	0	1	3	0
5.	926	989	991	988	2	0	2	2	2	1	0	1	1	0	1	0
5.1	932	992	994	990	0	0	0	0	2	0	0	1	0	0	1	0
5.2	946	993	993	986	3	1	2	0	3	1	2	0	0	0	0	0
5.3	952	992	989	990	1	2	1	1	2	3	0	0	0	2	2	2
5.4	953	989	992	992	2	3	2	2	0	2	1	2	0	0	1	0
5.5	959	989	992	994	0	4	2	1	1	3	0	0	0	2	1	0
5.6	964	991	991	993	1	1	2	2	2	2	0	0	1	0	3	0
5.7	971	994	996	993	4	1	1	1	0	1	0	0	0	0	1	1
5.8	973	994	993	996	1	1	2	1	0	1	0	0	1	0	2	2
5.9	976	993	994	995	3	2	2	1	1	1	0	0	0	0	2	1
6.	981	994	994	994	1	2	1	2	3	1	0	0	1	1	1	2
6.1	982	992	994	997	3	3	0	0	1	2	0	0	1	0	1	1
6.2	983	994	994	995	2	2	0	1	1	2	1	1	1	0	2	2
6.3	986	997	995	996	0	2	2	0	0	2	1	1	0	0	0	0
6.4	988	998	996	997	1	1	1	1	0	0	0	0	1	0	0	1
6.5	989	998	995	995	1	1	2	2	1	0	0	0	1	1	0	1
6.6	991	998	996	995	1	1	3	2	1	0	0	0	0	1	0	0
6.7	992	998	997	995	1	1	3	1	1	0	1	0	0	0	0	0
6.8	989	999	994	995	1	0	2	2	1	0	1	0	4	0	0	0
6.9	992	996	997	997	0	1	1	2	2	2	0	1	0	0	0	0
7.	992	996	996	995	3	3	3	1	1	0	0	0	0	0	0	1
7.1	992	996	994	995	3	3	4	2	1	0	0	0	1	0	0	0
7.2	995	998	998	997	1	1	1	1	1	0	1	0	0	0	0	0
7.3	996	998	997	998	1	2	2	1	0	0	0	0	0	0	0	0
7.4	995	998	998	997	1	1	1	1	1	0	1	0	0	0	0	0
7.5	995	999	998	998	1	1	1	1	0	0	0	0	0	0	0	0
7.6	996	998	998	998	1	1	1	1	0	0	0	1	0	0	0	1
7.7	998	999	998	998	1	1	2	1	0	0	0	0	0	0	0	0
7.8	999	999	999	999	1	1	1	0	0	0	0	0	0	0	0	0
7.9	999	999	999	999	1	1	1	0	0	0	0	0	0	0	0	0
8.	998	999	998	999	1	1	1	0	0	0	0	0	1	0	0	0
8.1	999	999	999	1000	0	1	0	0	0	1	0	0	0	0	0	0
8.2	998	1000	999	999	0	0	0	0	0	0	1	0	1	0	0	0
8.3	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
8.4	999	1000	1000	999	0	0	0	0	0	0	1	0	0	0	0	0
8.5	997	999	999	998	1	0	0	0	1	0	1	0	1	0	0	0
8.6	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
8.7	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
8.8	998	999	999	999	1	0	0	0	1	0	0	0	1	0	0	0
8.9	998	998	1000	998	2	0	0	0	2	0	0	0	0	0	0	0
9.	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
9.1	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
9.2	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
9.3	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
9.4	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
9.5	998	998	1000	999	1	0	0	0	1	0	0	1	0	0	0	0
9.6	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
9.7	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
9.8	997	998	1000	998	1	0	0	0	1	0	1	1	0	0	0	0
9.9	998	999	999	998	1	0	1	1	1	0	0	0	0	0	0	0
10.	998	999	999	998	1	0	1	1	1	0	0	0	0	0	0	0
10.1	998	999	999	998	1	0	1	1	1	0	0	0	0	0	0	0
10.2	997	999	998	999	0	0	1	1	0	0	0	1	1	0	0	0
10.3	999	1000	999	999	0	0	1	1	0	0	0	0	0	0	0	0
10.4	997	999	998	999	0	0	1	1	0	0	0	1	1	0	0	0
10.5	998	1000	998	998	0	0	2	2	0	0	0	0	0	0	0	0
10.6	999	1000	999	999	0	0	1	1	0	0	0	0	0	0	0	0
10.7	999	1000	999	999	0	0	1	1	0	0	0	0	0	0	0	0
10.8	998	1000	998	999	0	0	1	1	0	0	0	0	1	0	0	0
10.9	998	999	999	999	0	0	1	1	0	0	0	1	0	0	0	0
11.	999	1000	999	999	0	0	1	1	0	0	0	0	0	0	0	0
11.1	998	1000	998	999	0	0	1	1	0	0	0	0	1	0	0	0
11.2	999	999	999	999	1	1	1	0	0	0	0	0	0	0	0	0
11.3	998	999	999	998	1	1	1	0	0	0	1	0	0	0	0	0
11.4	999	999	999	1000	0	1	0	0	0	1	0	0	0	0	0	0
11.5	998	998	999	999	1	1	0	0	1	1	0	0	0	0	0	0
11.6	998	998	999	998	2	1	1	0	1	0	0	0	0	0	0	0
11.7	999	999	999	1000	0	1	0	0	0	1	0	0	0	0	0	0
11.8	998	999	999	999	0	1	0	0	0	1	1	0	0	0	0	0
11.9	999	999	999	999	1	1	1	0	0	0	0	0	0	0	0	0
12.	998	999	998	998	1	1	2	1	0	0	0	0	0	0	0	0
12.1	999	999	999	999	1	1	1	0	0	0	0	0	0	0	0	0
12.2	999	999	999	999	1	1	1	0	0	0	0	0	0	0	0	0
12.3	998	998	999	998	2	1	1	0	1	0	0	0	0	0	0	0
12.4	997	999	999	997	1	0	1	1	1	0	1	0	0	0	0	0
12.5	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
12.6	997	999	999	998	1	0	0	0	1	0	1	0	1	0	0	0
12.7	998	998	1000	998	2	0	0	0	2	0	0	0	0	0	0	0
12.8	998	998	1000	998	2	0	0	0	2	0	0	0	0	0	0	0
12.9	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
13.	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
13.1	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
13.2	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
13.3	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
13.4	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
13.5	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
13.6	998	998	1000	999	1	0	0	0	1	0	0	1	0	0	0	0
13.7	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
13.8	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
13.9	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
14.	999	1000	1000	999	0	0	0	0	0	0	1	0	0	0	0	0
14.1	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
14.2	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
14.3	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
14.4	999	1000	999	1000	0	0	0	0	0	0	0	0	1	0	0	0
14.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
14.6	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
14.7	999	1000	1000	999	0	0	0	0	0	0	1	0	0	0	0	0
14.8	998	999	1000	998	1	0	0	0	1	0	1	0	0	0	0	0
14.9	998	998	999	999	1	1	1	0	0	0	0	1	0	0	0	0
15.	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
15.1	999	1000	999	999	0	0	1	1	0	0	0	0	0	0	0	0
15.2	999	1000	999	1000	0	0	0	0	0	0	0	0	1	0	0	0
15.3	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
15.4	999	999	1000	1000	0	0	0	0	0	0	0	1	0	0	0	0
15.5	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
15.6	1000	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0
15.7	999	999	1000	999	1	0	0	0	1	0	0	0	0	0	0	0
15.8	998	999	999	999	1	0	0	0	1	0	0	0	1	0	0	0
