"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
0.	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0
0.1	13	942	944	948	1	3	0	3	3	3	0	4	5	3	1	2
0.2	16	946	956	949	5	2	2	0	2	2	1	3	3	3	1	3
0.3	15	959	951	946	3	3	1	4	0	3	3	1	3	2	1	4
0.4	19	954	946	944	5	1	2	3	1	4	3	1	1	2	8	2
0.5	19	946	952	954	4	5	2	2	0	5	1	1	0	2	2	2
0.6	22	954	951	954	5	2	4	1	2	1	0	1	2	0	2	4
0.7	26	944	943	940	4	3	6	3	5	4	2	6	2	5	3	0
0.8	29	951	951	956	4	4	3	0	2	2	1	1	3	3	0	5
0.9	36	945	949	946	1	1	3	4	2	3	1	5	0	3	2	2
1.	44	950	945	947	4	3	3	1	1	3	2	5	2	2	1	4
1.1	49	945	951	951	3	0	4	3	4	2	2	2	1	2	3	2
1.2	53	942	950	945	4	5	2	3	1	5	3	5	2	1	0	1
1.3	59	948	935	950	3	3	3	1	1	6	1	4	3	2	1	4
1.4	66	961	946	955	1	3	1	5	1	0	3	0	1	1	4	1
1.5	65	945	951	954	5	2	4	0	1	5	0	5	2	4	2	2
1.6	67	953	947	957	1	4	3	2	0	2	3	2	0	2	0	3
1.7	64	949	948	951	1	1	2	1	1	3	4	2	2	4	0	3
1.8	68	958	952	946	2	0	3	2	1	1	6	3	2	3	3	2
1.9	70	954	942	953	1	1	2	5	2	4	1	2	2	1	4	4
2.	71	945	954	960	1	5	1	4	3	3	1	1	4	1	1	2
2.1	74	954	941	949	3	3	2	3	3	7	3	2	3	1	2	1
2.2	79	950	956	951	2	2	4	5	4	1	4	3	2	3	3	1
2.3	80	952	949	945	2	0	4	1	0	5	4	3	3	2	3	4
2.4	83	958	950	954	2	4	1	1	2	2	4	3	2	0	3	2
2.5	88	951	944	953	2	2	4	2	3	1	2	1	5	4	7	5
2.6	87	950	948	955	0	5	1	4	2	1	2	1	3	2	2	1
2.7	94	960	959	950	2	0	2	4	2	2	0	1	0	2	4	3
2.8	92	949	939	959	5	1	3	2	2	0	3	2	5	6	2	3
2.9	92	941	944	957	1	3	5	0	3	6	3	4	4	3	1	2
3.	96	946	948	948	3	3	4	3	1	2	2	3	3	0	4	2
3.1	95	954	964	948	4	0	3	1	4	0	3	2	1	2	3	0
3.2	100	963	950	958	3	0	2	2	2	2	4	2	3	0	1	4
3.3	96	956	951	955	2	1	1	5	3	4	4	3	0	1	1	1
3.4	100	953	948	955	1	0	4	3	1	0	2	5	4	3	0	3
3.5	105	945	958	955	1	3	3	1	2	1	3	2	1	3	2	1
3.6	103	955	945	954	2	2	5	5	3	2	2	1	1	2	0	1
3.7	105	949	951	954	2	1	4	4	3	1	1	2	4	4	2	1
3.8	105	955	950	951	4	3	2	2	4	8	1	3	2	0	2	1
3.9	103	945	961	944	2	3	4	4	3	3	2	3	1	3	0	2
4.	98	948	955	950	3	5	3	2	4	1	1	1	2	4	2	2
4.1	99	940	954	957	5	3	2	1	3	3	2	4	2	1	2	3
4.2	102	948	955	946	3	3	5	3	3	0	3	2	1	2	0	5
4.3	106	945	951	950	4	6	4	2	2	2	2	5	3	3	2	2
4.4	114	953	955	961	2	2	3	3	1	1	2	2	3	3	0	2
4.5	114	955	957	952	5	3	1	1	1	0	2	2	1	1	1	2
4.6	111	957	949	952	6	1	1	3	2	1	2	1	3	3	2	0
4.7	105	957	949	952	2	1	2	5	4	3	2	2	7	3	2	3
4.8	107	948	955	955	1	3	2	3	2	3	0	3	4	2	3	3
4.9	112	950	960	953	3	6	3	4	1	3	3	2	0	1	0	1
5.	112	951	953	959	3	3	1	0	4	1	1	1	2	3	2	2
5.1	116	956	944	955	2	4	0	1	4	3	1	2	4	2	3	8
5.2	114	950	955	948	2	3	4	0	3	2	1	4	4	3	2	3
5.3	115	954	949	953	0	2	1	2	5	3	3	4	3	0	3	2
5.4	114	949	951	955	0	2	3	2	1	3	2	2	3	2	4	3
5.5	112	951	951	950	4	6	1	0	1	3	3	2	5	4	1	4
5.6	114	955	947	951	1	1	3	3	5	3	4	1	5	4	1	2
5.7	118	953	946	945	2	5	4	3	1	4	1	1	2	2	3	3
5.8	119	956	949	953	3	3	3	3	1	3	2	3	1	2	2	1
5.9	117	949	955	959	1	2	3	2	2	1	2	2	1	1	2	4
6.	121	952	955	948	3	1	3	1	2	1	3	4	2	4	3	2
6.1	121	946	947	958	5	4	0	1	2	2	1	3	1	1	4	3
6.2	122	961	953	959	3	3	0	1	2	1	1	3	1	2	2	3
6.3	117	950	952	956	0	3	6	0	0	3	2	2	4	2	3	3
6.4	116	955	946	964	1	1	1	3	1	5	1	3	1	2	2	4
6.5	119	959	958	956	3	3	2	1	3	3	1	3	3	0	0	1
6.6	124	948	954	956	3	3	1	3	2	0	4	0	4	1	2	4
6.7	127	947	951	960	6	3	3	3	2	2	0	2	0	2	0	3
6.8	130	959	952	950	4	0	0	3	2	3	3	0	2	1	1	3
6.9	132	953	954	956	4	2	0	2	2	1	1	2	3	4	1	0
7.	127	954	956	951	1	1	1	3	4	2	0	4	3	3	5	4
7.1	131	959	952	950	3	5	2	3	3	1	1	1	2	6	2	0
7.2	132	955	950	961	1	6	2	6	1	3	0	1	1	2	3	1
7.3	132	956	957	953	3	1	2	4	4	2	1	1	4	3	0	3
7.4	136	963	946	947	2	4	2	1	4	2	1	2	4	2	1	0
7.5	134	953	955	948	2	4	1	2	0	0	3	2	2	1	1	4
7.6	137	957	951	955	4	3	5	3	2	2	2	1	4	1	0	1
7.7	142	953	952	954	4	1	1	4	5	4	3	5	1	4	2	1
7.8	144	957	957	954	1	5	1	4	2	0	3	3	2	1	1	1
7.9	141	959	946	958	2	2	3	5	0	4	5	2	1	2	3	2
8.	141	951	954	947	2	8	2	1	3	3	5	3	1	4	1	4
8.1	140	954	952	954	1	3	7	6	3	1	2	3	3	2	1	1
8.2	137	955	948	951	2	4	1	4	4	5	2	2	4	1	1	2
8.3	137	958	951	952	3	0	0	4	4	3	0	1	4	1	3	0
8.4	135	950	947	949	6	4	4	3	0	2	2	3	4	4	3	1
8.5	136	954	957	943	1	3	2	2	3	3	1	1	2	2	0	2
8.6	138	958	951	950	0	2	4	3	0	3	1	1	4	1	1	5
8.7	133	956	955	959	0	1	3	3	2	4	1	1	2	1	2	2
