"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
0.	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0
0.1	5	966	969	968	1	1	0	0	0	2	0	2	1	2	0	1
0.2	7	972	965	967	1	0	0	2	1	0	2	0	0	0	2	1
0.3	5	963	967	963	1	0	0	2	3	0	2	3	2	1	1	0
0.4	6	959	967	973	1	0	2	2	0	2	2	4	1	0	1	2
0.5	5	968	967	967	1	1	3	0	1	2	1	1	2	1	3	1
0.6	4	971	965	964	1	0	2	2	1	0	2	1	1	4	1	1
0.7	4	974	967	966	1	1	3	0	1	0	1	0	0	1	1	1
0.8	3	969	971	963	1	1	1	0	1	1	2	0	1	0	2	1
0.9	4	971	964	969	0	2	2	0	1	1	0	2	0	1	0	3
1.	6	969	966	970	1	1	1	2	0	2	2	1	0	1	1	0
1.1	7	971	969	971	1	1	1	0	0	2	2	2	1	2	3	1
1.2	8	969	972	970	3	1	1	0	1	0	1	0	2	1	0	0
1.3	8	973	968	974	1	1	1	0	2	0	0	0	0	1	0	1
1.4	7	971	971	973	0	1	1	1	2	2	1	1	1	1	1	0
1.5	9	967	973	971	3	1	0	2	1	1	0	3	0	1	1	2
1.6	9	971	968	968	1	0	1	0	0	1	0	1	2	0	0	2
1.7	9	973	969	965	2	2	0	2	0	1	0	0	0	1	2	2
1.8	10	969	970	971	2	1	0	0	0	2	0	1	3	1	0	0
1.9	11	969	973	965	1	2	2	1	2	2	1	1	0	0	1	0
2.	11	959	966	969	2	0	2	2	1	2	0	0	1	0	0	0
2.1	12	966	973	965	0	0	0	2	0	1	1	0	1	1	0	0
2.2	13	979	970	973	1	3	0	2	0	3	0	1	1	1	0	1
2.3	15	970	968	975	0	0	0	3	1	2	2	0	0	1	1	2
2.4	14	964	966	968	2	1	3	1	0	1	1	2	1	2	0	0
2.5	15	980	970	965	0	0	1	0	2	0	2	1	0	0	1	0
2.6	14	972	978	969	2	1	0	0	2	1	0	2	0	1	0	2
2.7	15	967	968	970	0	1	0	1	0	0	0	4	1	3	0	1
2.8	19	967	971	973	1	2	0	2	0	0	0	0	1	1	0	1
2.9	20	968	965	977	1	1	1	1	0	0	1	2	0	1	1	5
3.	20	968	969	973	2	2	1	0	1	1	1	1	0	1	0	2
3.1	21	975	971	969	0	3	1	1	1	1	2	0	2	1	1	3
3.2	19	973	972	974	0	0	0	1	0	1	1	2	0	1	2	2
3.3	19	968	973	968	1	1	3	2	2	2	0	1	0	3	1	0
3.4	19	978	972	965	1	3	1	0	2	1	3	1	0	0	1	2
3.5	16	967	966	964	2	0	0	0	0	1	3	2	1	0	2	0
3.6	16	968	963	965	2	1	2	1	2	0	0	1	1	0	1	1
3.7	16	961	968	963	2	1	2	0	3	2	0	0	1	1	0	3
3.8	17	970	974	965	0	0	0	2	4	1	1	1	0	0	0	2
3.9	18	973	972	967	0	1	0	1	0	0	1	0	1	0	1	1
4.	18	962	968	972	1	1	0	0	2	0	3	1	2	0	2	2
4.1	18	971	968	977	1	0	0	1	1	1	0	1	0	0	0	0
4.2	19	977	969	968	0	0	1	1	0	0	1	0	1	1	1	0
4.3	18	964	971	971	1	1	1	3	0	0	1	1	1	0	1	0
4.4	17	972	972	966	1	0	1	0	1	0	2	0	2	0	1	1
4.5	18	971	968	967	0	0	0	0	1	3	0	1	0	1	2	2
4.6	17	971	966	973	1	0	1	1	0	1	0	2	1	1	3	2
4.7	16	974	966	971	1	1	1	1	2	0	0	0	1	0	0	1
4.8	17	973	969	970	1	1	2	1	1	0	1	2	2	0	0	0
4.9	19	974	967	965	0	0	1	1	0	2	2	1	0	2	1	2
5.	20	971	966	971	1	2	0	0	2	0	0	0	0	1	2	1
5.1	18	973	965	975	3	1	1	1	0	0	0	2	2	0	1	2
5.2	19	968	969	976	0	3	0	0	0	0	0	2	1	1	2	0
5.3	15	970	969	965	1	1	1	2	2	2	0	0	0	0	0	1
5.4	16	973	968	972	0	2	1	1	0	1	1	1	1	1	0	0
5.5	16	969	967	964	3	0	0	3	0	1	1	1	0	0	0	2
5.6	13	964	966	963	0	1	1	0	1	2	2	0	1	0	1	0
5.7	13	974	964	965	1	3	4	2	0	0	2	0	2	0	1	0
5.8	12	970	971	961	1	0	1	1	2	1	3	0	0	0	1	1
5.9	13	978	972	972	0	1	1	0	2	2	1	0	0	2	1	0
6.	13	964	963	974	1	0	3	1	0	0	2	2	0	1	0	0
6.1	11	971	967	970	0	1	1	0	0	0	1	1	0	0	0	1
6.2	12	968	972	973	0	0	1	1	1	1	3	0	1	2	2	0
6.3	14	980	964	967	0	1	2	1	1	2	2	0	1	0	0	0
6.4	13	970	972	972	1	0	1	2	1	0	0	0	2	0	0	2
6.5	11	970	969	970	0	1	0	2	1	1	1	0	1	2	2	0
6.6	11	970	963	966	0	1	0	1	1	1	1	0	1	1	2	0
6.7	10	971	972	970	1	1	0	0	0	1	2	0	0	1	0	1
6.8	13	972	967	969	1	0	0	2	0	1	1	2	3	0	0	1
6.9	14	970	970	969	0	1	1	2	1	2	0	2	0	2	1	3
7.	13	965	972	969	0	0	1	0	1	0	0	3	1	0	1	0
7.1	14	974	978	967	0	0	0	1	1	0	1	3	0	3	0	0
7.2	13	966	967	970	0	1	4	1	3	1	0	3	2	1	0	1
7.3	13	967	973	967	2	1	1	1	1	1	1	3	1	0	1	0
7.4	12	966	973	966	1	1	2	1	0	1	0	0	0	2	4	2
7.5	14	977	967	970	0	1	0	0	0	1	3	0	0	3	0	1
7.6	13	974	969	963	3	0	1	0	2	1	0	2	2	1	0	1
7.7	16	973	971	977	0	0	0	1	0	1	0	0	0	1	0	0
7.8	17	970	967	964	2	2	1	2	4	1	2	0	1	1	3	1
7.9	17	972	968	973	0	1	0	1	0	3	2	2	1	0	0	0
8.	15	965	967	976	1	1	1	0	1	0	2	1	1	0	1	0
8.1	17	974	976	969	1	1	0	0	1	0	1	1	0	0	1	0
8.2	15	971	972	970	1	2	1	0	0	2	1	2	0	2	0	1
8.3	16	967	966	975	0	3	1	0	0	1	0	1	2	0	0	1
8.4	17	975	968	975	3	0	0	0	0	1	0	0	0	1	2	1
8.5	18	972	962	974	0	1	0	3	0	1	0	0	1	0	0	1
8.6	17	963	965	978	0	3	3	1	0	1	0	3	0	0	0	0
8.7	16	970	967	972	1	1	0	0	0	1	1	1	5	2	1	0
8.8	15	971	972	967	0	2	0	2	2	0	0	0	1	3	1	0
8.9	15	972	967	970	0	2	1	0	1	0	0	0	0	0	0	2
9.	15	977	966	975	0	0	1	1	0	3	1	0	1	0	0	1
9.1	16	971	968	976	2	1	1	0	0	1	0	0	2	0	1	0
9.2	15	974	970	971	2	1	1	0	2	2	0	1	0	0	0	0
9.3	11	968	963	969	1	0	1	0	2	2	0	2	0	0	0	1
9.4	12	971	975	974	1	1	1	2	1	0	1	2	0	2	1	0
9.5	10	972	968	964	0	0	1	1	2	0	1	1	0	3	3	0
9.6	8	973	968	973	0	0	1	0	0	2	0	2	2	0	1	0
9.7	8	963	968	971	3	0	1	1	0	1	1	1	1	2	0	2
9.8	9	970	974	969	3	2	0	2	0	1	2	0	0	2	1	1
9.9	9	970	970	969	2	0	2	3	0	1	0	0	1	1	1	1
10.	8	965	966	974	1	1	0	1	1	3	1	1	3	0	3	1
10.1	11	973	964	970	3	2	2	2	0	0	0	0	1	2	0	1
10.2	10	964	971	975	3	1	2	0	1	1	0	2	0	0	0	1
10.3	13	963	973	965	1	0	0	1	1	0	1	3	0	0	1	1
10.4	16	972	968	967	2	1	0	0	0	1	0	1	1	0	2	2
10.5	17	974	968	965	0	0	0	4	1	0	0	0	1	1	0	1
10.6	16	965	968	968	2	2	0	0	2	3	1	2	1	2	2	0
10.7	16	974	965	963	1	0	2	1	2	2	2	0	0	0	1	2
10.8	14	975	967	970	0	3	1	0	1	4	2	0	1	0	1	1
10.9	14	968	969	971	0	1	3	0	0	1	0	1	4	0	0	0
11.	16	970	967	968	1	0	0	0	1	2	3	0	0	2	0	3
11.1	15	966	967	970	1	1	1	0	3	2	0	1	1	2	0	1
11.2	13	967	969	969	1	2	1	0	1	0	0	2	1	1	2	0
11.3	14	964	969	968	2	2	1	1	0	1	2	0	1	0	1	1
11.4	12	970	965	967	2	0	2	1	1	0	0	1	2	0	2	2
11.5	13	969	961	965	0	0	1	3	1	2	0	0	2	0	2	2
11.6	13	968	966	973	0	2	0	2	1	2	1	2	0	1	2	2
11.7	13	965	962	969	1	2	1	0	1	2	3	0	3	0	2	1
11.8	16	968	964	970	0	1	1	0	0	1	0	2	2	1	0	0
11.9	17	971	970	969	1	1	2	1	1	0	2	0	1	0	0	1
12.	18	973	970	973	0	0	1	0	1	1	1	1	1	0	0	0
12.1	16	963	965	967	1	3	0	2	1	1	4	2	2	0	3	1
12.2	16	973	964	978	2	0	1	3	0	0	1	2	2	0	0	1
12.3	15	972	967	970	0	1	0	0	0	1	1	0	0	1	2	2
12.4	14	963	967	968	4	1	0	0	1	0	0	3	2	1	0	1
