"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
8.6	139	981	970	968	1	1	1	1	1	0	0	1	1	0	0	0
8.7	133	979	962	976	1	1	0	2	1	0	2	1	3	0	0	0
8.8	129	973	965	964	0	4	3	1	2	0	2	1	3	0	0	2
8.9	132	974	972	965	2	0	1	3	1	0	1	3	2	1	0	2
9.	131	972	967	969	1	0	0	2	0	0	1	0	0	0	1	1
9.1	130	970	969	972	0	1	2	0	1	0	2	1	1	1	2	2
9.2	135	975	974	970	0	0	0	2	0	2	2	1	0	1	1	0
9.3	132	969	966	967	2	1	0	2	1	3	0	1	1	0	1	0
9.4	132	968	965	962	0	0	2	1	2	0	2	0	2	1	1	0
9.5	135	971	965	971	1	0	1	2	1	0	1	1	1	1	2	2
9.6	140	973	962	976	0	2	0	3	0	0	0	2	0	1	0	0
9.7	138	967	974	970	2	1	1	0	2	0	1	1	3	2	0	0
9.8	137	971	964	975	0	2	1	0	0	1	2	2	3	1	3	0
9.9	141	976	967	970	1	1	0	1	0	2	0	0	0	0	1	0
10.	140	971	970	978	0	2	2	2	0	0	0	0	1	2	2	0
10.1	142	973	972	974	1	1	1	1	1	1	0	1	0	0	1	0
10.2	144	969	973	973	0	2	1	1	1	1	0	0	1	1	0	1
10.3	140	970	977	974	0	1	0	3	1	1	2	1	2	0	1	3
10.4	147	972	978	969	2	1	1	0	0	3	0	1	0	1	2	2
10.5	145	971	975	972	0	1	0	2	1	1	1	0	1	1	1	1
10.6	143	969	969	970	3	1	1	2	1	1	1	2	1	1	1	2
10.7	140	968	973	970	1	1	1	2	3	1	0	0	1	0	0	1
10.8	137	972	964	971	0	1	1	2	1	1	1	2	0	2	2	0
10.9	136	974	980	969	2	0	1	0	2	0	1	1	1	3	2	0
11.	133	967	980	975	1	0	1	2	1	1	0	1	1	2	1	1
11.1	132	971	974	973	1	0	0	0	0	1	1	1	1	2	0	1
11.2	129	981	975	975	1	0	1	0	2	0	0	2	0	0	0	1
11.3	127	975	971	974	2	2	0	0	3	1	1	0	0	1	0	0
11.4	126	969	973	978	2	0	0	0	1	1	0	2	1	0	0	3
11.5	131	966	963	968	2	2	2	4	0	1	0	0	0	0	2	1
11.6	132	974	963	969	2	0	2	0	1	1	0	0	0	2	0	1
11.7	131	975	971	966	3	0	0	2	1	2	1	0	0	0	3	1
11.8	132	969	973	970	2	2	1	0	1	2	0	0	0	0	1	0
11.9	132	971	974	970	2	0	1	1	1	1	1	0	0	1	2	1
12.	129	968	970	968	1	0	1	0	2	1	2	2	1	2	0	1
12.1	131	963	976	972	1	0	1	0	1	1	2	2	1	1	1	0
12.2	133	974	973	975	3	1	1	0	1	1	0	1	1	0	0	1
12.3	131	966	969	973	1	1	2	2	3	4	0	1	2	0	2	1
12.4	128	970	974	973	1	0	0	0	0	2	0	0	1	1	1	1
12.5	128	975	976	979	2	0	0	0	0	2	1	1	0	0	1	0
12.6	127	970	969	971	0	0	0	0	0	0	0	4	2	3	1	1
12.7	127	973	973	975	1	2	3	1	1	3	0	1	1	0	2	0
