"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
0.	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0
0.1	5	950	946	947	3	3	3	1	1	1	2	1	1	2	1	4
0.2	6	948	947	946	3	1	5	3	2	1	2	2	3	1	1	3
0.3	6	947	944	947	5	5	5	2	2	2	2	0	3	2	4	2
0.4	6	950	952	953	2	5	4	1	1	1	3	2	3	3	2	1
0.5	6	944	941	947	4	0	2	2	6	3	2	2	5	1	5	4
0.6	7	945	942	941	2	2	2	1	1	5	7	3	5	4	2	5
0.7	9	952	947	951	3	3	3	2	1	1	2	1	5	2	2	4
0.8	9	956	955	950	2	2	3	4	1	2	3	3	2	2	3	3
0.9	7	948	955	952	3	3	1	4	0	0	2	3	1	2	1	2
1.	6	952	954	945	2	1	4	2	3	1	3	2	1	1	4	3
1.1	6	952	951	955	1	3	3	2	2	1	4	3	1	3	0	0
1.2	6	945	958	945	4	3	0	2	4	3	2	4	2	2	3	1
1.3	9	939	948	951	4	4	4	2	1	3	1	5	1	2	4	3
1.4	10	945	953	948	4	0	4	2	3	4	1	4	2	2	1	2
1.5	10	952	959	950	4	1	5	2	0	0	1	2	1	2	3	0
1.6	10	947	949	952	9	6	1	1	1	4	4	1	0	0	2	2
1.7	9	957	951	963	2	1	0	3	2	1	1	3	1	1	0	2
1.8	11	959	951	955	3	2	3	5	0	1	1	2	1	1	2	1
1.9	13	941	955	953	0	3	4	1	1	2	3	5	1	3	2	0
2.	15	961	955	954	4	3	1	3	1	0	3	2	3	1	2	0
2.1	16	958	954	946	4	3	4	0	2	2	3	1	0	0	1	4
2.2	19	938	957	955	2	1	1	1	1	2	1	1	1	2	4	1
2.3	17	956	945	951	2	3	3	5	1	0	4	0	2	1	3	1
2.4	18	952	950	951	4	4	0	3	0	1	3	1	1	1	3	3
2.5	20	951	951	945	8	1	3	3	5	4	0	1	3	2	1	1
2.6	20	950	944	956	1	5	1	2	4	2	2	1	4	2	2	2
2.7	19	952	947	946	2	3	3	7	4	1	1	1	2	3	2	1
2.8	15	952	955	946	0	1	3	3	3	0	4	2	3	2	1	1
2.9	15	950	957	952	1	4	0	2	2	4	2	2	3	1	3	0
3.	16	955	950	947	0	1	4	3	1	3	3	1	1	1	7	1
3.1	18	951	955	945	2	3	4	2	0	3	3	1	3	4	0	1
3.2	19	943	955	951	6	1	1	2	1	2	3	2	3	4	4	2
3.3	18	952	947	949	2	2	2	1	5	4	1	2	2	1	2	2
3.4	15	940	943	955	3	3	2	3	2	3	1	2	3	1	3	2
3.5	16	945	949	952	2	4	4	3	1	5	1	1	2	2	1	2
3.6	15	946	950	948	5	2	1	5	2	2	4	3	1	3	5	2
3.7	18	954	957	943	2	3	3	1	2	1	4	2	1	1	2	1
3.8	21	954	950	950	2	4	3	5	1	2	3	4	3	4	5	1
3.9	16	958	955	943	1	1	3	1	4	4	3	3	0	2	0	3
4.	15	942	950	941	5	2	2	2	3	1	3	1	3	3	4	1
4.1	13	949	948	951	2	1	4	4	1	1	2	4	1	3	1	3
4.2	12	949	942	945	4	3	3	2	5	4	4	3	4	3	2	4
4.3	12	951	937	954	3	1	1	1	4	0	5	2	1	3	1	4
4.4	12	945	951	940	2	1	4	6	5	2	3	1	3	6	2	1
4.5	13	952	937	944	1	3	2	3	3	2	2	1	2	4	3	0
4.6	15	949	957	948	4	2	2	1	1	2	2	3	1	5	1	1
4.7	13	957	958	954	2	5	5	2	2	1	2	3	3	1	1	1
4.8	14	950	951	956	3	3	2	2	4	5	1	0	1	3	4	0
4.9	13	952	954	951	6	4	1	2	2	0	3	4	2	2	1	2
5.	14	944	949	949	1	3	3	2	0	5	4	3	1	5	1	1
5.1	12	954	954	945	4	3	3	2	2	2	2	1	1	0	5	2
5.2	12	947	954	952	2	3	3	3	4	6	2	2	2	2	3	2
5.3	11	951	949	949	3	2	1	5	6	1	0	5	2	2	6	4
5.4	12	953	943	958	2	2	6	2	0	4	2	2	2	3	3	2
5.5	12	956	955	952	3	0	1	1	2	3	3	1	1	2	3	2
5.6	11	950	953	956	0	3	1	1	4	3	1	3	2	0	1	0
5.7	11	949	952	952	1	3	2	4	0	2	2	4	2	0	3	0
5.8	13	944	953	953	1	1	0	2	1	0	1	6	4	2	5	2
5.9	12	950	953	947	7	0	3	3	5	1	5	4	4	1	1	1
6.	11	946	952	945	3	8	2	3	3	2	4	4	1	1	0	0
6.1	11	949	955	949	7	3	1	4	6	1	0	3	1	2	2	1
6.2	12	952	956	949	3	3	1	1	4	3	3	0	2	1	0	1
6.3	13	955	948	953	2	2	0	2	1	4	3	1	3	0	2	2
6.4	14	950	946	954	1	3	3	3	3	1	1	1	6	1	4	2
6.5	14	943	943	956	2	3	2	0	1	3	2	0	4	6	1	3
6.6	11	958	949	954	4	1	2	3	3	2	1	1	3	1	4	2
6.7	10	949	949	956	5	1	5	4	2	2	0	3	1	3	0	4
6.8	10	948	953	945	2	0	1	3	1	2	2	2	4	1	2	0
6.9	10	959	946	943	1	3	1	4	4	1	3	2	2	2	2	0
7.	12	949	953	943	2	1	1	2	2	1	4	0	2	1	2	2
7.1	13	953	952	951	3	2	3	3	1	2	2	2	3	2	0	2
7.2	13	945	946	946	3	2	3	3	3	3	3	5	0	5	3	3
7.3	11	960	951	944	5	2	3	1	3	4	3	1	1	0	3	3
7.4	11	954	950	957	1	5	2	4	1	2	3	1	5	3	1	2
7.5	10	954	950	942	3	1	2	3	2	3	4	3	0	4	2	2
7.6	9	946	961	947	1	2	2	2	2	0	2	0	3	2	5	0
7.7	7	949	948	949	2	5	5	1	0	3	3	2	1	4	4	4
7.8	7	948	940	948	1	4	4	1	6	5	2	0	3	3	2	2
7.9	8	946	935	955	2	3	4	1	1	6	4	5	1	1	4	3
8.	7	952	957	955	0	3	2	0	2	1	8	2	2	0	2	2
8.1	8	943	952	957	4	3	2	0	2	1	0	3	1	4	2	1
8.2	10	943	955	943	3	2	3	4	2	3	2	6	3	2	1	0
8.3	13	954	950	950	1	4	2	3	2	1	2	1	3	1	2	4
8.4	13	942	953	949	2	5	1	1	4	4	3	2	4	3	1	3
8.5	10	946	946	947	5	3	1	2	3	2	0	2	1	3	1	4
8.6	11	954	954	955	3	4	1	1	3	3	2	4	0	0	2	2
